imdb_id,TITLE,YEAR,GENRE,budget,revenue,vote_average,ROI
tt0398286,Tangled,2010,Adventure,260000000,591794936,7.5,127.61343692307692
tt0411951,Tekken,2010,Action,30000000,967000,5.1,-96.77666666666667
tt0427152,Dinner for Schmucks,2010,Comedy,69000000,86387857,5.6,25.19979275362319
tt0429493,The A-Team,2010,Action,110000000,177238796,6.3,61.12617818181818
tt0435761,Toy Story 3,2010,Adventure,200000000,1066969703,7.8,433.4848515
tt0446029,Scott Pilgrim vs. the World,2010,Action,60000000,47664559,7.3,-20.559068333333332
tt0455407,The Crazies,2010,Horror,20000000,54956140,6.2,174.78070000000002
tt0464154,Piranha 3D,2010,Comedy,24000000,83188165,5.3,246.61735416666664
tt0464162,Komaram Puli,2010,Action,4200000,2600000,5.0,-38.095238095238095
tt0473075,Prince of Persia: The Sands of Time,2010,Action,150000000,335154643,6.2,123.43642866666667
tt0477080,Unstoppable,2010,Action,100000000,167805466,6.4,67.80546600000001
tt0480255,The Losers,2010,Action,25000000,23580000,6.2,-5.680000000000001
tt0492389,Furry Vengeance,2010,Comedy,35000000,36236710,4.6,3.533457142857143
tt0493949,Ramona and Beezus,2010,Adventure,15000000,27293743,6.3,81.95828666666667
tt0758752,Love & Other Drugs,2010,Comedy,30000000,102820008,6.9,242.73335999999998
tt0775489,The Illusionist,2010,Animation,18000000,6007194,7.4,-66.6267
tt0800320,Clash of the Titans,2010,Action,125000000,232713139,5.7,86.17051119999999
tt0804497,It's Kind of a Funny Story,2010,Comedy,8000000,6491240,7.0,-18.8595
tt0808510,Tooth Fairy,2010,Comedy,48000000,112462508,5.4,134.29689166666668
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,2010,Adventure,95000000,226497209,6.1,138.4181147368421
tt0815236,She's Out of My League,2010,Comedy,20000000,49779728,6.1,148.89864
tt0817177,Flipped,2010,Comedy,14000000,1755212,7.4,-87.46277142857143
tt0817230,Valentine's Day,2010,Comedy,52000000,216485654,5.8,316.3185653846154
tt0840361,The Town,2010,Crime,37000000,154026136,7.1,316.28685405405406
tt0842926,The Kids Are All Right,2010,Comedy,3500000,34705850,6.6,891.5957142857144
tt0872230,My Soul to Take,2010,Horror,25000000,19829957,5.4,-20.680172
tt0879870,Eat Pray Love,2010,Drama,60000000,204594016,6.1,240.99002666666664
tt0889573,The Switch,2010,Comedy,19000000,49830607,6.1,162.26635263157897
tt0892318,Letters to Juliet,2010,Adventure,30000000,82148538,6.9,173.82846
tt0892769,How to Train Your Dragon,2010,Action,165000000,494878759,7.7,199.9265206060606
tt0892791,Shrek Forever After,2010,Adventure,165000000,752600867,6.2,356.1217375757576
tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010,Adventure,250000000,954305868,7.8,281.7223472
tt0935075,Rabbit Hole,2010,Drama,5000000,5129058,6.8,2.58116
tt0938283,The Last Airbender,2010,Action,150000000,318502923,4.6,112.335282
tt0944835,Salt,2010,Action,110000000,293329073,6.3,166.66279363636363
tt0947798,Black Swan,2010,Drama,13000000,327803731,7.6,2421.5671615384613
tt0947810,Green Zone,2010,Action,100000000,94882889,6.4,-5.1171109999999995
tt0955308,Robin Hood,2010,Action,200000000,310669540,6.3,55.33477
tt0962764,The House of Sun,2010,Drama,3700000,69948,4.7,-98.10951351351352
tt0963966,The Sorcerer's Apprentice,2010,Action,150000000,215283742,5.9,43.52249466666667
tt0964517,The Fighter,2010,Biography,25000000,93617009,7.3,274.468036
tt0968264,The Conspirator,2010,Crime,25000000,15478800,6.5,-38.0848
tt0970866,Little Fockers,2010,Comedy,100000000,310650585,5.6,210.650585
tt0977855,Fair Game,2010,Biography,22000000,24188922,6.6,9.949645454545454
tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Adventure,155000000,415686217,6.3,168.18465612903225
tt0985694,Machete,2010,Action,20000000,31327899,6.3,56.639495
tt0989757,Dear John,2010,Drama,25000000,114977104,6.8,359.908416
tt1001526,Megamind,2010,Action,130000000,321885765,6.8,147.6044346153846
tt1013743,Knight and Day,2010,Action,117000000,261930431,6.0,123.87216324786326
tt1013860,Dylan Dog: Dead of Night,2010,Action,20000000,4634062,4.5,-76.82969
tt1014759,Alice in Wonderland,2010,Adventure,200000000,1025467110,6.6,412.73355499999997
tt1017451,The Runaways,2010,Biography,10000000,2995811,6.4,-70.04189
tt1020558,Centurion,2010,Action,12000000,6814789,6.1,-43.21009166666666
tt1023114,The Way Back,2010,Adventure,30000000,20348249,6.9,-32.17250333333334
tt1027718,Wall Street: Money Never Sleeps,2010,Drama,70000000,134748021,6.0,92.49717285714286
tt1028576,Secretariat,2010,Biography,35000000,60251371,7.0,72.14677428571429
tt1032751,The Warrior's Way,2010,Action,42000000,11087569,6.1,-73.60102619047619
tt1037705,The Book of Eli,2010,Action,80000000,157107755,6.7,96.38469375
tt1038686,Legion,2010,Action,26000000,67918658,5.4,161.2256076923077
tt1038919,The Bounty Hunter,2010,Action,40000000,136000000,5.8,240.0
tt1041804,The Nutcracker in 3D,2010,Action,90000000,16178959,5.4,-82.02337888888889
tt1049402,Howl,2010,Biography,5000000,1183258,6.8,-76.33484
tt1053424,Repo Men,2010,Action,32000000,18409891,6.3,-42.469090625
tt1055292,Life as We Know It,2010,Comedy,38000000,105610124,6.8,177.92137894736842
tt1075747,Jonah Hex,2010,Action,47000000,10539000,4.6,-77.57659574468086
tt1103153,Killers,2010,Action,75000000,98159963,5.9,30.879950666666666
tt1104001,TRON: Legacy,2010,Action,170000000,400062763,6.3,135.3310370588235
tt1106860,Ca$h,2010,Comedy,7000000,46488,5.8,-99.33588571428571
tt1107319,Dirty Girl,2010,Comedy,4000000,55125,6.3,-98.621875
tt1116184,Jackass 3D,2010,Action,20000000,117224271,6.3,486.12135500000005
tt1120985,Blue Valentine,2010,Drama,3500000,16566240,6.9,373.32114285714283
tt1123373,Detective Dee: The Mystery of the Phantom Flame,2010,Action,13000000,51723285,6.7,297.87142307692307
tt1126591,Burlesque,2010,Drama,55000000,89519773,7.1,62.76322363636364
tt1126618,Morning Glory,2010,Comedy,40000000,58785180,6.3,46.96295
tt1129437,Skinning,2010,Action,500000,198,5.9,-99.9604
tt1130884,Shutter Island,2010,Mystery,80000000,294804195,8.1,268.50524375
tt1130964,The 5th Quarter,2010,Biography,6000000,399611,4.7,-93.33981666666666
tt1135084,Takers,2010,Action,32000000,69055695,6.2,115.799046875
tt1139328,The Ghost Writer,2010,Drama,45000000,60222298,6.8,33.82732888888889
tt1152822,Freakonomics,2010,Documentary,3000000,103735,6.6,-96.54216666666666
tt1155076,The Karate Kid,2010,Action,40000000,357852395,6.3,794.6309875
tt1172991,The Company Men,2010,Drama,15000000,4882577,6.5,-67.44948666666667
tt1179025,The Extraordinary Adventures of Ad?le Blanc-Sec,2010,Action,25000000,34100000,6.0,36.4
tt1179034,From Paris with Love,2010,Action,52000000,52826594,6.2,1.5896038461538462
tt1179056,A Nightmare on Elm Street,2010,Crime,35000000,115664037,5.5,230.46867714285716
tt1179069,6 Souls,2010,Horror,22000000,851517,5.9,-96.12946818181818
tt1182884,Found a Groom,2010,Comedy,5600000,2700000,5.3,-51.78571428571429
tt1183917,Teen Patti,2010,Crime,1000000,3900000,4.2,290.0
tt1185416,When in Rome,2010,Comedy,55000000,43042835,5.9,-21.7403
tt1188996,My Name Is Khan,2010,Drama,12000000,42345360,7.8,252.878
tt1193631,Step Up 3D,2010,Drama,30000000,159291809,6.8,430.9726966666667
tt1194417,Casino Jack,2010,Biography,12500000,1083683,6.0,-91.330536
tt1196340,Inhale,2010,Drama,10000000,55089,6.1,-99.44910999999999
tt1210039,Blood Done Sign My Name,2010,Drama,10000000,82739,5.8,-99.17261
tt1212419,Hereafter,2010,Drama,50000000,105197635,6.0,110.39527
tt1212436,The Back-up Plan,2010,Comedy,35000000,77477008,6.0,121.36287999999999
tt1213012,Alpha and Omega,2010,Adventure,20000000,50500000,5.4,152.5
tt1213648,London Boulevard,2010,Crime,25000000,4644108,5.9,-81.423568
tt1216492,Leap Year,2010,Comedy,19000000,29922472,6.7,57.486694736842104
tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,2010,Action,80000000,140073390,6.6,75.0917375
tt1220634,Resident Evil: Afterlife,2010,Action,60000000,300228084,6.0,400.38014000000004
tt1220888,Henry's Crime,2010,Comedy,12000000,204940,5.8,-98.29216666666667
tt1226229,Get Him to the Greek,2010,Adventure,40000000,90029656,5.9,125.07413999999999
tt1226273,Edge of Darkness,2010,Crime,80000000,74901339,6.3,-6.37332625
tt1226753,The Debt,2010,Drama,20000000,45636368,6.6,128.18184
tt1228705,Iron Man 2,2010,Action,200000000,623933331,6.8,211.9666655
tt1228987,Let Me In,2010,Drama,20000000,24145613,6.7,20.728065
tt1231583,Due Date,2010,Comedy,65000000,211780824,6.3,225.81665230769232
tt1231587,Hot Tub Time Machine,2010,Comedy,36000000,64572262,6.0,79.36739444444444
tt1235189,Wild Target,2010,Action,8000000,3453043,6.4,-56.8369625
tt1242432,I Spit on Your Grave,2010,Horror,2000000,572809,6.4,-71.35955
tt1243957,The Tourist,2010,Action,100000000,278731369,6.1,178.731369
tt1244659,Extraordinary Measures,2010,Drama,31000000,15134293,6.3,-51.1797
tt1244754,Conviction,2010,Biography,12500000,6732980,7.2,-46.13616
tt1245526,RED,2010,Action,58000000,71664962,6.6,23.56027931034483
tt1250777,Kick-Ass,2010,Action,28000000,96188903,7.1,243.53179642857143
tt1261945,Sex and the City 2,2010,Comedy,100000000,288347692,5.9,188.34769200000002
tt1268204,Waste Land,2010,Documentary,1500000,187716,7.7,-87.48559999999999
tt1270761,Don't Be Afraid of the Dark,2010,Fantasy,25000000,36993168,5.5,47.972672
tt1270835,Hatchet II,2010,Comedy,2500000,52604,5.6,-97.89584
tt1272018,Kandagar,2010,Action,7000000,15172408,6.7,116.74868571428571
tt1272051,Space Dogs,2010,Adventure,25000000,6500000,5.6,-74.0
tt1273678,The Spy Next Door,2010,Action,28000000,45236543,5.7,61.55908214285715
tt1274300,The Tempest,2010,Comedy,20000000,346594,5.7,-98.26703
tt1279935,Date Night,2010,Comedy,55000000,152263880,6.0,176.84341818181818
tt1282140,Easy A,2010,Comedy,8000000,74952305,6.8,836.9038125
tt1285016,The Social Network,2010,Biography,40000000,224920315,7.2,462.3007875
tt1287468,Cats & Dogs: The Revenge of Kitty Galore,2010,Action,85000000,112483764,4.9,32.33384
tt1291549,Meet Monica Velour,2010,Comedy,5000000,31649,5.4,-99.36702
tt1294688,Last Night,2010,Drama,7000000,7644937,6.1,9.213385714285714
tt1302067,Yogi Bear,2010,Adventure,80000000,201584141,5.3,151.98017625
tt1305583,Our Family Wedding,2010,Comedy,14000000,21409028,5.5,52.92162857142857
tt1305797,Enthiran,2010,Action,26400000,62000000,6.5,134.84848484848484
tt1313092,Animal Kingdom,2010,Crime,5000000,1000000,6.8,-80.0
tt1314655,Devil,2010,Horror,10000000,33583175,5.9,235.83175
tt1320239,Burke and Hare,2010,Comedy,10000000,4349187,6.2,-56.50813
tt1320244,The Last Exorcism,2010,Drama,1800000,67738090,5.6,3663.227222222222
tt1320253,The Expendables,2010,Action,80000000,274470394,6.1,243.0879925
tt1320261,Gulliver's Travels,2010,Adventure,112000000,237382724,5.1,111.94886071428571
tt1321509,Death at a Funeral,2010,Comedy,21000000,49050886,5.7,133.5756476190476
tt1322312,Going the Distance,2010,Comedy,32000000,42045846,6.0,31.393268749999997
tt1323594,Despicable Me,2010,Animation,69000000,543513985,7.2,687.7014275362319
tt1325004,The Twilight Saga: Eclipse,2010,Adventure,68000000,698491347,6.0,927.1931573529411
tt1334260,Never Let Me Go,2010,Drama,15000000,9455232,6.8,-36.96512
tt1334470,Raavan,2010,Action,4500000,4200000,4.4,-6.666666666666667
tt1339161,The Robber,2010,Biography,3900000,208475,6.6,-94.65448717948718
tt1340107,In a Better World,2010,Drama,15000000,13004198,7.3,-13.305346666666667
tt1341167,Four Lions,2010,Comedy,967686,4658570,7.0,381.4133923607451
tt1341188,How Do You Know,2010,Comedy,120000000,48668907,5.1,-59.442577500000006
tt1343703,Fortress of War,2010,Action,8500000,4404729,7.4,-48.179658823529415
tt1361313,The Extra Man,2010,Comedy,7000000,453079,5.9,-93.52744285714286
tt1369706,The Ward,2010,Horror,10000000,498974,5.8,-95.01026
tt1373156,Karthik Calling Karthik,2010,Drama,2800000,3900000,5.9,39.285714285714285
tt1375666,Inception,2010,Action,160000000,825532764,8.3,415.9579775
tt1375670,Grown Ups,2010,Comedy,80000000,271430189,6.2,239.28773625000002
tt1385867,Cop Out,2010,Action,30000000,55583804,5.4,85.27934666666667
tt1386588,The Other Guys,2010,Action,100000000,170432927,6.2,70.432927
tt1386932,Ip Man 2,2010,Action,12902809,36000000,7.3,179.0090126886324
tt1391137,Why Did I Get Married Too?,2010,Comedy,20000000,60072596,5.9,200.36298000000002
tt1392197,Marmaduke,2010,Comedy,50000000,83761844,5.1,67.523688
tt1396208,Action Replay,2010,Comedy,10000000,5000000,5.2,-50.0
tt1399683,Winter's Bone,2010,Drama,2000000,13831503,6.9,591.57515
tt1403177,Hesher,2010,Comedy,7000000,382946,7.0,-94.52934285714286
tt1403865,True Grit,2010,Adventure,38000000,252276927,7.2,563.88665
tt1403981,Remember Me,2010,Drama,16000000,56032889,7.0,250.20555624999997
tt1403988,The Romantics,2010,Comedy,4500000,123820,4.9,-97.24844444444444
tt1405810,Loose Cannons,2010,Comedy,7000000,8220215,7.4,17.431642857142858
tt1414382,You Again,2010,Comedy,20000000,32005248,6.2,60.026239999999994
tt1415283,Nanny McPhee Returns,2010,Comedy,35000000,93246388,6.1,166.41825142857144
tt1421036,Goa,2010,Comedy,2,3,6.3,50.0
tt1423894,Barney's Version,2010,Comedy,30000000,8454301,7.2,-71.81899666666666
tt1423995,Stone,2010,Drama,22000000,9479718,5.2,-56.91037272727273
tt1424381,Predators,2010,Action,40000000,126248813,6.1,215.62203250000002
tt1431181,Another Year,2010,Comedy,8000000,18124262,7.0,126.553275
tt1433108,Faster,2010,Action,24000000,23081726,6.3,-3.8261416666666666
tt1436045,13 Assassins,2010,Action,6000000,17555141,7.3,192.58568333333332
tt1437366,Beyond,2010,Drama,3000000,4800080,6.1,60.00266666666667
tt1438254,Charlie St. Cloud,2010,Drama,44000000,48190704,6.9,9.524327272727273
tt1439229,High School Musical: O Desafio,2010,Musical,50000,1149000,4.8,2198.0
tt1440232,Little White Lies,2010,Comedy,25000000,48531470,7.2,94.12588
tt1440728,The American,2010,Crime,20000000,65464324,5.8,227.32161999999997
tt1441956,West Is West,2010,Comedy,3837625,3867000,6.6,0.7654473795641835
tt1447508,Peepli (Live),2010,Comedy,2270000,6900000,7.6,203.9647577092511
tt1447972,StreetDance 3D,2010,Drama,5773100,18144030,6.3,214.28573903102318
tt1451797,Rann,2010,Drama,7500000,2000000,6.4,-73.33333333333333
tt1452628,Vanishing on 7th Street,2010,Horror,10000000,1068682,5.0,-89.31318
tt1454523,Black Bread,2010,Crime,6000000,3770657,7.1,-37.15571666666666
tt1455811,Khatta Meetha,2010,Action,7500000,10000000,4.9,33.33333333333333
tt1456941,"Tomorrow, When the War Began",2010,Action,27000000,16504936,6.3,-38.87060740740741
tt1458175,The Next Three Days,2010,Action,30000000,51148651,7.0,70.49550333333333
tt1462758,Buried,2010,Drama,1987650,19152480,6.6,863.5740698815184
tt1464580,Stake Land,2010,Drama,650000,33245,6.2,-94.88538461538461
tt1465487,Heartbreaker,2010,Comedy,8700000,47355187,6.6,444.3124942528736
tt1465493,Hum Tum Aur Ghost,2010,Comedy,1900000,680000,4.2,-64.21052631578948
tt1470023,MacGruber,2010,Action,10000000,6110000,5.3,-38.9
tt1470827,Monsters,2010,Drama,500000,5639730,6.2,1027.946
tt1477076,Saw 3D: The Final Chapter,2010,Horror,20000000,136150434,6.0,580.75217
tt1477109,Space Battleship Yamato,2010,Action,12000000,11212294,6.1,-6.564216666666667
