imdb_id,TITLE,YEAR,GENRE,budget,revenue,vote_average
tt0146592,Pál Adrienn,2010,Drama,0,0,5.0
tt0162942,Children of the Green Dragon,2010,Drama,0,0,5.0
tt0312305,Quantum Quest: A Cassini Space Odyssey,2010,Adventure,0,0,0.5
tt0326965,In My Sleep,2010,Drama,0,0,5.4
tt0393049,Anderson's Cross,2010,Comedy,300000,0,5.0
tt0398286,Tangled,2010,Adventure,260000000,591794936,7.5
tt0403645,Burnt by the Sun 2,2010,Drama,55000000,0,5.0
tt0411951,Tekken,2010,Action,30000000,967000,5.1
tt0417610,Asleep in the Sun,2010,Fantasy,0,0,3.0
tt0417750,Hempsters: Plant the Seed,2010,Documentary,250000,0,5.2
tt0419692,Disconnect,2010,Drama,0,0,6.3
tt0423474,Venus & Vegas,2010,Action,0,0,3.7
tt0427152,Dinner for Schmucks,2010,Comedy,69000000,86387857,5.6
tt0429493,The A-Team,2010,Action,110000000,177238796,6.3
tt0435761,Toy Story 3,2010,Adventure,200000000,1066969703,7.8
tt0439801,Segurança Nacional,2010,Action,0,0,5.0
tt0443331,Milenge Milenge,2010,Drama,0,0,3.2
tt0445054,7 Days,2010,Crime,0,0,6.3
tt0446029,Scott Pilgrim vs. the World,2010,Action,60000000,47664559,7.3
tt0449005,Diary of a Bad Lad,2010,Comedy,0,0,4.5
tt0451108,Mad World,2010,Drama,0,0,5.0
tt0455407,The Crazies,2010,Horror,20000000,54956140,6.2
tt0457591,Memorias del desarrollo,2010,Drama,0,0,5.0
tt0460778,Drunkboat,2010,Drama,0,0,5.6
tt0462516,Satan Hates You,2010,Horror,0,0,3.7
tt0463311,Federal,2010,Drama,0,0,4.9
tt0464154,Piranha 3D,2010,Comedy,24000000,83188165,5.3
tt0464162,Komaram Puli,2010,Action,4200000,2600000,5.0
tt0473075,Prince of Persia: The Sands of Time,2010,Action,150000000,335154643,6.2
tt0477080,Unstoppable,2010,Action,100000000,167805466,6.4
tt0479204,Perfect Life,2010,Horror,0,0,4.3
tt0480255,The Losers,2010,Action,25000000,23580000,6.2
tt0482459,Bandage,2010,Drama,0,0,6.1
tt0482461,Barry Munday,2010,Comedy,0,0,5.7
tt0483586,Chasing 3000,2010,Family,0,0,5.0
tt0490236,The Invited,2010,Horror,0,0,3.4
tt0492389,Furry Vengeance,2010,Comedy,35000000,36236710,4.6
tt0493949,Ramona and Beezus,2010,Adventure,15000000,27293743,6.3
tt0756727,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),2010,Biography,0,28200,7.6
tt0758752,Love & Other Drugs,2010,Comedy,30000000,102820008,6.9
tt0765465,The Legend of Secret Pass,2010,Animation,25400000,0,2.5
tt0768187,Me and My Umbrella,2010,Family,0,0,7.6
tt0770778,King of the Avenue,2010,Drama,0,0,4.5
tt0775461,The Rain Fairy,2010,Family,0,0,4.5
tt0775489,The Illusionist,2010,Animation,18000000,6007194,7.4
tt0775543,Night Catches Us,2010,Drama,0,0,4.2
tt0780653,The Wolfman,2010,Drama,150000000,0,5.7
tt0790663,The First Grader,2010,Biography,0,0,6.9
tt0798817,13,2010,Drama,0,3317662,5.7
tt0800320,Clash of the Titans,2010,Action,125000000,232713139,5.7
tt0800353,Nemesis,2010,Drama,0,0,4.3
tt0804497,It's Kind of a Funny Story,2010,Comedy,8000000,6491240,7.0
tt0808245,A Letter to Elia,2010,Documentary,0,0,7.3
tt0808510,Tooth Fairy,2010,Comedy,48000000,112462508,5.4
tt0811021,Plum?feros - Aventuras voladoras,2010,Adventure,750000,0,3.5
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,2010,Adventure,95000000,226497209,6.1
tt0815236,She's Out of My League,2010,Comedy,20000000,49779728,6.1
tt0816362,Card Subject to Change,2010,Documentary,0,0,4.3
tt0817177,Flipped,2010,Comedy,14000000,1755212,7.4
tt0817230,Valentine's Day,2010,Comedy,52000000,216485654,5.8
tt0831280,Waking Madison,2010,Drama,0,0,5.7
tt0831881,Land,2010,Documentary,415000,0,4.3
tt0840358,Everyday Sunshine: The Story of Fishbone,2010,Documentary,0,0,8.0
tt0840361,The Town,2010,Crime,37000000,154026136,7.1
tt0842926,The Kids Are All Right,2010,Comedy,3500000,34705850,6.6
tt0844866,Killer by Nature,2010,Adventure,0,0,2.5
tt0846004,Gangster Exchange,2010,Action,0,0,4.2
tt0847215,Neowolf,2010,Horror,0,0,1.8
tt0850709,Risen,2010,Biography,0,0,2.0
tt0858411,2001 Maniacs: Field of Screams,2010,Comedy,500000,0,4.1
tt0861747,Zenitram,2010,Action,4168500,0,6.1
tt0871893,"Surprise, Surprise",2010,Drama,0,0,5.0
tt0872230,My Soul to Take,2010,Horror,25000000,19829957,5.4
tt0878654,Bulletface,2010,Thriller,0,0,5.5
tt0878672,First Circle,2010,Documentary,0,0,5.0
tt0878835,Please Give,2010,Comedy,3000000,0,6.3
tt0879405,Harm's Way,2010,Thriller,0,0,6.3
tt0879870,Eat Pray Love,2010,Drama,60000000,204594016,6.1
tt0884214,Wreckage,2010,Horror,0,0,3.9
tt0887161,Repo,2010,Comedy,0,0,3.0
tt0889573,The Switch,2010,Comedy,19000000,49830607,6.1
tt0892318,Letters to Juliet,2010,Adventure,30000000,82148538,6.9
tt0892769,How to Train Your Dragon,2010,Action,165000000,494878759,7.7
tt0892791,Shrek Forever After,2010,Adventure,165000000,752600867,6.2
tt0896872,The Whistleblower,2010,Action,0,0,6.7
tt0899145,Don't Fade Away,2010,Drama,0,0,4.4
tt0901504,Psych:9,2010,Horror,5000000,0,4.5
tt0903036,Westbrick Murders,2010,Action,0,0,3.5
tt0907305,Prey,2010,Adventure,0,0,5.3
tt0914823,House Under Siege,2010,Action,0,0,4.0
tt0914863,Unthinkable,2010,Drama,15000000,0,6.7
tt0915463,Jackboots on Whitehall,2010,Animation,6000000,0,5.1
tt0918575,Victim,2010,Horror,0,0,4.6
